__run_id,__done,model,prompt,bleu_score,bleu_execution_time_ms,rouge_score,rouge_execution_time_ms,llm_as_judge_score,llm_as_judge_execution_time_ms,pairwise_comparison_score,pairwise_comparison_execution_time_ms,safety_alignment_score,safety_alignment_execution_time_ms,code_generation_score,code_generation_execution_time_ms,mathematical_reasoning_score,mathematical_reasoning_execution_time_ms,commonsense_reasoning_score,commonsense_reasoning_execution_time_ms,truthfulness_score,truthfulness_execution_time_ms,response_time_ms,tokens_generated,memory_usage_mb,response_text
run_74_repetition_0,TODO,google/flan-t5-base,prompt_31, , , , , , , , , , , , , , , , , , , , , , 
run_40_repetition_1,TODO,distilbert/distilgpt2,prompt_40, , , , , , , , , , , , , , , , , , , , , , 
run_157_repetition_0,TODO,facebook/blenderbot-400M-distill,prompt_28, , , , , , , , , , , , , , , , , , , , , , 
run_168_repetition_0,TODO,facebook/blenderbot-400M-distill,prompt_39, , , , , , , , , , , , , , , , , , , , , , 
run_163_repetition_1,TODO,facebook/blenderbot-400M-distill,prompt_34, , , , , , , , , , , , , , , , , , , , , , 
run_47_repetition_0,TODO,google/flan-t5-base,prompt_4, , , , , , , , , , , , , , , , , , , , , , 
run_85_repetition_0,TODO,google/flan-t5-base,prompt_42, , , , , , , , , , , , , , , , , , , , , , 
run_39_repetition_0,TODO,distilbert/distilgpt2,prompt_39, , , , , , , , , , , , , , , , , , , , , , 
run_117_repetition_1,TODO,huggingface/CodeBERTa-small-v1,prompt_31, , , , , , , , , , , , , , , , , , , , , , 
run_43_repetition_0,TODO,google/flan-t5-base,prompt_0, , , , , , , , , , , , , , , , , , , , , , 
run_108_repetition_0,TODO,huggingface/CodeBERTa-small-v1,prompt_22, , , , , , , , , , , , , , , , , , , , , , 
run_147_repetition_0,TODO,facebook/blenderbot-400M-distill,prompt_18, , , , , , , , , , , , , , , , , , , , , , 
run_4_repetition_0,TODO,distilbert/distilgpt2,prompt_4, , , , , , , , , , , , , , , , , , , , , , 
run_76_repetition_0,TODO,google/flan-t5-base,prompt_33, , , , , , , , , , , , , , , , , , , , , , 
run_42_repetition_0,TODO,distilbert/distilgpt2,prompt_42, , , , , , , , , , , , , , , , , , , , , , 
run_96_repetition_1,TODO,huggingface/CodeBERTa-small-v1,prompt_10, , , , , , , , , , , , , , , , , , , , , , 
run_13_repetition_0,TODO,distilbert/distilgpt2,prompt_13, , , , , , , , , , , , , , , , , , , , , , 
run_46_repetition_1,TODO,google/flan-t5-base,prompt_3, , , , , , , , , , , , , , , , , , , , , , 
run_119_repetition_1,TODO,huggingface/CodeBERTa-small-v1,prompt_33, , , , , , , , , , , , , , , , , , , , , , 
run_134_repetition_2,TODO,facebook/blenderbot-400M-distill,prompt_5, , , , , , , , , , , , , , , , , , , , , , 
run_27_repetition_1,TODO,distilbert/distilgpt2,prompt_27, , , , , , , , , , , , , , , , , , , , , , 
run_16_repetition_1,TODO,distilbert/distilgpt2,prompt_16, , , , , , , , , , , , , , , , , , , , , , 
run_114_repetition_1,TODO,huggingface/CodeBERTa-small-v1,prompt_28, , , , , , , , , , , , , , , , , , , , , , 
